moves, guesses, result, moves, guesses, result, moves, guesses, result
2, 1, lost, 128, 1, lost, 44, 1, won, 
87, 2, lost, 108, 6, won, 4, 3, lost, 
31, 3, lost, 136, 0, won, 36, 0, won, 
3, 2, lost, 114, 3, won, 28, 1, won, 
2, 1, lost, 111, 1, won, 22, 1, won, 
10, 3, lost, 16, 1, lost, 26, 0, won, 
10, 4, lost, 9, 4, lost, 21, 5, lost, 
3, 2, lost, 3, 2, lost, 27, 1, won, 
6, 2, lost, 116, 3, lost, 29, 0, won, 
6, 5, lost, 2, 1, lost, 2, 1, lost, 
181, 3, lost, 115, 3, won, 24, 1, won, 
100, 4, lost, 4, 3, lost, 35, 2, won, 
148, 4, lost, 103, 4, lost, 37, 0, won, 
26, 7, lost, 112, 6, won, 33, 1, won, 
4, 1, lost, 104, 3, lost, 23, 4, lost, 
310, 8, lost, 10, 4, lost, 22, 0, won, 
20, 4, lost, 110, 0, won, 32, 3, won, 
12, 4, lost, 136, 4, lost, 33, 1, won, 
4, 1, lost, 122, 1, lost, 31, 0, won, 
6, 5, lost, 99, 1, won, 15, 1, lost, 
95, 4, lost, 132, 0, won, 27, 0, won, 
2, 1, lost, 132, 3, won, 36, 1, won, 
278, 6, lost, 94, 1, lost, 37, 1, won, 
6, 2, lost, 147, 1, won, 34, 2, won, 
10, 3, lost, 136, 1, won, 24, 4, lost, 
13, 6, lost, 104, 0, won, 24, 2, lost, 
108, 4, lost, 79, 4, lost, 4, 2, lost, 
87, 4, lost, 2, 1, lost, 30, 1, won, 
12, 5, lost, 108, 0, won, 41, 2, won, 
41, 1, lost, 115, 2, won, 3, 2, lost, 
340, 2, won, 122, 2, lost, 22, 3, won, 
42, 6, lost, 10, 5, lost, 35, 0, won, 
18, 9, lost, 123, 1, won, 28, 2, won, 
186, 9, lost, 118, 3, won, 21, 0, won, 
8, 5, lost, 13, 4, lost, 28, 1, won, 
2, 1, lost, 2, 1, lost, 4, 1, lost, 
2, 1, lost, 113, 1, won, 29, 2, won, 
43, 3, lost, 8, 5, lost, 26, 1, lost, 
195, 15, lost, 115, 2, won, 29, 2, won, 
2, 1, lost, 9, 5, lost, 45, 3, won, 
87, 5, lost, 99, 4, won, 34, 3, won, 
258, 6, lost, 106, 4, lost, 36, 2, won, 
3, 2, lost, 5, 4, lost, 28, 0, won, 
6, 5, lost, 93, 0, won, 28, 0, won, 
4, 3, lost, 3, 2, lost, 5, 1, lost, 
2, 1, lost, 33, 6, lost, 5, 4, lost, 
217, 14, lost, 97, 3, lost, 14, 0, won, 
5, 4, lost, 107, 2, won, 25, 0, won, 
2, 1, lost, 14, 4, lost, 33, 0, won, 
11, 4, lost, 124, 2, won, 42, 4, won, 
68, 4, lost, 26, 3, lost, 35, 2, won, 
88, 1, lost, 8, 4, lost, 34, 2, won, 
76, 3, lost, 6, 1, lost, 28, 3, won, 
2, 1, lost, 21, 4, lost, 26, 5, lost, 
282, 4, lost, 103, 1, lost, 33, 1, won, 
79, 3, lost, 21, 3, lost, 31, 2, won, 
15, 4, lost, 118, 1, lost, 25, 1, won, 
19, 6, lost, 2, 1, lost, 2, 1, lost, 
13, 4, lost, 2, 1, lost, 24, 3, won, 
2, 1, lost, 138, 0, won, 18, 1, won, 
296, 8, won, 86, 7, lost, 5, 4, lost, 
8, 5, lost, 102, 1, won, 10, 5, lost, 
8, 1, lost, 19, 3, lost, 31, 3, won, 
2, 1, lost, 98, 2, won, 36, 0, won, 
6, 3, lost, 135, 2, won, 37, 1, won, 
2, 1, lost, 124, 2, won, 27, 2, won, 
4, 3, lost, 120, 0, won, 27, 1, won, 
128, 6, lost, 129, 1, won, 23, 5, lost, 
5, 3, lost, 123, 8, won, 37, 2, won, 
7, 3, lost, 106, 2, won, 26, 2, won, 
3, 2, lost, 147, 0, won, 38, 3, won, 
3, 2, lost, 106, 2, won, 40, 0, won, 
2, 1, lost, 7, 1, lost, 34, 4, won, 
13, 4, lost, 39, 7, lost, 2, 1, lost, 
128, 6, lost, 85, 4, lost, 28, 3, won, 
131, 5, lost, 94, 7, lost, 25, 2, won, 
59, 3, lost, 124, 0, won, 21, 1, won, 
13, 10, lost, 105, 4, lost, 34, 3, won, 
39, 5, lost, 4, 3, lost, 19, 1, lost, 
195, 5, lost, 111, 2, lost, 17, 2, won, 
2, 1, lost, 129, 1, won, 34, 2, won, 
48, 2, lost, 105, 6, won, 31, 1, won, 
2, 1, lost, 2, 1, lost, 26, 0, won, 
8, 4, lost, 150, 1, won, 31, 4, lost, 
122, 5, lost, 101, 5, lost, 25, 2, won, 
18, 5, lost, 114, 3, lost, 29, 5, won, 
8, 4, lost, 6, 3, lost, 17, 2, lost, 
2, 1, lost, 124, 3, won, 8, 4, lost, 
2, 1, lost, 117, 2, won, 30, 2, won, 
178, 3, lost, 125, 5, lost, 2, 1, lost, 
171, 8, lost, 116, 1, won, 27, 1, won, 
135, 5, lost, 124, 0, won, 26, 5, won, 
2, 1, lost, 2, 1, lost, 17, 2, lost, 
7, 6, lost, 5, 4, lost, 22, 3, won, 
21, 5, lost, 16, 4, lost, 6, 5, lost, 
2, 1, lost, 73, 3, lost, 34, 3, won, 
244, 6, lost, 9, 5, lost, 32, 0, won, 
6, 5, lost, 92, 2, lost, 15, 4, lost, 
110, 5, lost, 92, 5, lost, 10, 4, lost, 
4, 3, lost, 116, 1, won, 45, 1, won, 
2, 1, lost, 130, 1, won, 4, 1, lost, 
6, 4, lost, 102, 1, won, 24, 0, won, 
9, 5, lost, 138, 5, won, 33, 0, won, 
2, 1, lost, 40, 2, lost, 30, 1, won, 
3, 2, lost, 130, 4, won, 34, 0, won, 
8, 2, lost, 4, 3, lost, 43, 0, won, 
4, 3, lost, 141, 2, lost, 31, 1, won, 
29, 1, lost, 101, 2, won, 23, 0, won, 
55, 5, lost, 100, 7, lost, 33, 2, won, 
11, 3, lost, 133, 1, won, 28, 1, won, 
225, 3, lost, 2, 1, lost, 33, 3, won, 
47, 4, lost, 116, 2, won, 29, 3, won, 
2, 1, lost, 107, 0, won, 28, 3, won, 
18, 3, lost, 140, 2, lost, 32, 4, won, 
114, 6, lost, 2, 1, lost, 20, 2, won, 
3, 2, lost, 96, 0, won, 29, 0, won, 
6, 4, lost, 2, 1, lost, 3, 2, lost, 
101, 6, lost, 87, 3, lost, 26, 1, won, 
2, 1, lost, 8, 5, lost, 28, 2, won, 
68, 3, lost, 4, 2, lost, 19, 0, won, 
156, 5, lost, 101, 5, lost, 31, 3, won, 
3, 2, lost, 2, 1, lost, 32, 0, won, 
17, 5, lost, 118, 1, won, 16, 0, won, 
5, 2, lost, 123, 0, won, 33, 0, won, 
4, 3, lost, 97, 3, lost, 22, 1, won, 
7, 6, lost, 2, 1, lost, 27, 0, won, 
4, 3, lost, 52, 6, lost, 24, 2, won, 
42, 5, lost, 101, 3, lost, 25, 0, won, 
6, 5, lost, 6, 2, lost, 26, 1, won, 
2, 1, lost, 141, 2, won, 18, 0, won, 
3, 2, lost, 95, 4, lost, 25, 1, won, 
3, 2, lost, 125, 3, won, 28, 0, won, 
64, 4, lost, 2, 1, lost, 2, 1, lost, 
35, 4, lost, 100, 1, won, 30, 2, won, 
21, 2, lost, 91, 4, lost, 27, 2, won, 
83, 1, lost, 23, 6, lost, 6, 4, lost, 
29, 4, lost, 122, 0, won, 2, 1, lost, 
73, 1, lost, 75, 4, lost, 15, 0, won, 
3, 2, lost, 108, 4, won, 33, 0, won, 
11, 6, lost, 150, 3, won, 27, 3, won, 
104, 7, lost, 139, 4, won, 18, 0, won, 
14, 3, lost, 139, 4, won, 29, 0, won, 
9, 6, lost, 3, 2, lost, 36, 3, won, 
229, 7, lost, 129, 4, won, 27, 2, won, 
4, 3, lost, 5, 4, lost, 29, 1, won, 
11, 4, lost, 2, 1, lost, 20, 0, won, 
3, 2, lost, 118, 3, won, 27, 2, won, 
2, 1, lost, 115, 6, won, 36, 0, won, 
13, 6, lost, 122, 4, lost, 27, 2, lost, 
4, 2, lost, 3, 2, lost, 3, 2, lost, 
2, 1, lost, 109, 2, won, 2, 1, lost, 
30, 6, lost, 114, 2, lost, 23, 0, won, 
29, 2, lost, 3, 2, lost, 35, 0, won, 
58, 5, lost, 4, 3, lost, 23, 3, lost, 
69, 2, lost, 99, 2, lost, 22, 2, lost, 
315, 1, won, 18, 3, lost, 31, 0, won, 
2, 1, lost, 131, 0, won, 29, 0, won, 
2, 1, lost, 116, 3, won, 33, 0, won, 
3, 2, lost, 107, 1, lost, 2, 1, lost, 
81, 2, lost, 134, 5, lost, 38, 0, won, 
4, 3, lost, 99, 2, lost, 26, 0, won, 
91, 3, lost, 80, 4, lost, 32, 1, won, 
150, 3, lost, 5, 4, lost, 34, 2, won, 
40, 4, lost, 113, 2, won, 18, 0, won, 
34, 4, lost, 48, 5, lost, 20, 3, lost, 
6, 2, lost, 59, 2, lost, 23, 1, won, 
251, 9, lost, 102, 1, won, 32, 0, won, 
179, 4, lost, 140, 0, won, 31, 0, won, 
4, 3, lost, 4, 3, lost, 34, 1, won, 
32, 5, lost, 3, 2, lost, 4, 3, lost, 
3, 2, lost, 119, 6, won, 33, 0, won, 
10, 3, lost, 10, 4, lost, 19, 1, won, 
33, 9, lost, 20, 4, lost, 24, 0, won, 
5, 2, lost, 117, 0, won, 18, 1, won, 
3, 2, lost, 8, 5, lost, 34, 4, won, 
48, 11, lost, 2, 1, lost, 27, 3, won, 
6, 4, lost, 32, 4, lost, 36, 0, won, 
24, 1, lost, 14, 6, lost, 27, 1, won, 
136, 8, lost, 107, 5, lost, 32, 0, won, 
265, 11, lost, 5, 2, lost, 2, 1, lost, 
68, 2, lost, 11, 7, lost, 27, 0, won, 
3, 2, lost, 135, 1, lost, 30, 2, won, 
2, 1, lost, 15, 2, lost, 28, 1, won, 
5, 4, lost, 11, 5, lost, 26, 0, won, 
5, 1, lost, 4, 2, lost, 5, 1, lost, 
53, 10, lost, 115, 0, won, 25, 2, won, 
192, 4, lost, 119, 2, lost, 32, 1, won, 
22, 4, lost, 104, 2, won, 35, 3, lost, 
14, 4, lost, 4, 3, lost, 28, 0, won, 
5, 4, lost, 2, 1, lost, 33, 5, won, 
10, 7, lost, 7, 4, lost, 28, 1, won, 
13, 4, lost, 3, 2, lost, 25, 1, won, 
2, 1, lost, 113, 2, lost, 27, 2, lost, 
55, 6, lost, 116, 0, won, 26, 2, won, 
32, 6, lost, 122, 3, won, 21, 4, lost, 
3, 2, lost, 69, 2, lost, 31, 3, won, 
2, 1, lost, 126, 1, won, 19, 3, lost, 
10, 6, lost, 66, 3, lost, 30, 0, won, 
21, 8, lost, 95, 2, lost, 19, 3, lost, 
86, 4, lost, 101, 4, won, 32, 0, won, 
6, 4, lost, 6, 4, lost, 17, 0, won, 
236, 7, lost, 2, 1, lost, 23, 1, won, 
10, 8, lost, 2, 1, lost, 26, 3, won, 
3, 2, lost, 124, 4, won, 5, 4, lost, 
11, 6, lost, 2, 1, lost, 25, 0, won, 
270, 11, lost, 3, 2, lost, 23, 1, won, 
14, 4, lost, 119, 3, won, 4, 3, lost, 
2, 1, lost, 5, 4, lost, 18, 1, won, 
246, 2, lost, 3, 2, lost, 35, 2, won, 
4, 3, lost, 132, 3, lost, 37, 1, won, 
149, 5, lost, 136, 1, won, 31, 3, won, 
259, 6, lost, 2, 1, lost, 30, 1, won, 
6, 5, lost, 119, 0, won, 34, 0, won, 
4, 2, lost, 14, 5, lost, 5, 4, lost, 
2, 1, lost, 2, 1, lost, 6, 5, lost, 
5, 4, lost, 130, 4, lost, 36, 3, won, 
2, 1, lost, 3, 2, lost, 26, 1, won, 
35, 5, lost, 131, 2, won, 31, 7, won, 
83, 4, lost, 3, 2, lost, 11, 4, lost, 
24, 4, lost, 120, 2, lost, 39, 4, won, 
2, 1, lost, 122, 1, won, 40, 0, won, 
174, 6, lost, 113, 1, won, 32, 1, won, 
54, 4, lost, 111, 1, won, 34, 1, won, 
59, 5, lost, 2, 1, lost, 24, 2, won, 
37, 3, lost, 80, 2, lost, 25, 2, lost, 
236, 10, lost, 6, 5, lost, 22, 0, won, 
80, 7, lost, 117, 3, lost, 27, 1, won, 
8, 4, lost, 119, 1, won, 27, 0, won, 
254, 6, lost, 8, 2, lost, 20, 0, won, 
2, 1, lost, 97, 3, lost, 28, 0, won, 
2, 1, lost, 133, 1, won, 18, 0, won, 
2, 1, lost, 134, 0, won, 37, 0, won, 
5, 3, lost, 7, 4, lost, 26, 0, won, 
3, 2, lost, 75, 4, lost, 31, 2, won, 
5, 4, lost, 4, 3, lost, 32, 0, won, 
9, 2, lost, 7, 2, lost, 7, 1, lost, 
11, 5, lost, 124, 5, won, 30, 6, won, 
12, 7, lost, 12, 2, lost, 33, 0, won, 
8, 1, lost, 65, 4, lost, 16, 2, lost, 
2, 1, lost, 3, 2, lost, 33, 2, won, 
89, 6, lost, 108, 6, won, 30, 1, won, 
8, 3, lost, 113, 0, won, 2, 1, lost, 
2, 1, lost, 128, 0, won, 29, 0, won, 
3, 2, lost, 117, 4, lost, 20, 2, won, 
2, 1, lost, 3, 2, lost, 35, 5, won, 
158, 4, lost, 60, 3, lost, 39, 0, won, 
2, 1, lost, 103, 0, won, 32, 0, won, 
250, 2, lost, 93, 3, lost, 26, 1, won, 
219, 1, lost, 108, 3, lost, 21, 0, won, 
7, 2, lost, 112, 1, won, 23, 2, won, 
