moves, guesses, result
129, 4, won
130, 2, lost
5, 1, lost
53, 1, lost
134, 0, won
32, 3, lost
89, 4, lost
2, 1, lost
9, 2, lost
113, 4, lost
2, 1, lost
107, 6, won
2, 1, lost
17, 3, lost
120, 4, won
120, 1, won
4, 3, lost
8, 2, lost
108, 3, won
115, 1, lost
4, 3, lost
113, 6, lost
107, 2, won
109, 3, lost
117, 3, won
122, 1, won
108, 4, won
4, 1, lost
7, 6, lost
107, 5, lost
128, 10, won
100, 3, won
127, 1, won
82, 16, lost
131, 1, won
7, 1, lost
3, 2, lost
111, 3, won
114, 0, won
128, 5, lost
147, 0, won
6, 5, lost
112, 1, won
124, 1, won
124, 2, won
125, 2, won
126, 1, won
90, 1, lost
34, 5, lost
108, 1, won
95, 4, lost
16, 6, lost
133, 0, won
2, 1, lost
95, 3, won
119, 5, won
122, 2, won
3, 2, lost
105, 4, lost
13, 7, lost
122, 3, lost
107, 0, won
116, 5, lost
2, 1, lost
5, 2, lost
105, 3, won
25, 5, lost
7, 3, lost
69, 4, lost
2, 1, lost
91, 3, lost
100, 4, lost
102, 5, lost
65, 9, lost
137, 1, won
2, 1, lost
3, 2, lost
4, 3, lost
145, 1, lost
2, 1, lost
6, 2, lost
3, 2, lost
116, 6, lost
113, 12, won
86, 2, lost
2, 1, lost
144, 1, won
113, 0, won
5, 4, lost
2, 1, lost
121, 4, won
126, 3, won
53, 4, lost
121, 7, lost
105, 8, lost
5, 4, lost
126, 1, won
4, 3, lost
115, 4, lost
108, 9, lost
